frame,x,y,visible
0,0,0,False
1,402,817,True
2,399,822,True
3,374,779,True
4,344,740,True
5,646,674,True
6,968,652,True
7,1286,630,True
8,1276,635,True
9,988,702,True
10,998,702,True
11,1003,702,True
12,1290,639,True
13,1295,640,True
14,1300,642,True
15,981,714,True
16,651,776,True
17,294,800,True
18,667,716,True
19,586,512,True
20,585,524,True
21,177,569,True
22,611,707,True
23,628,725,True
24,627,716,True
25,237,744,True
26,609,684,True
27,1004,654,True
28,994,665,True
29,612,741,True
30,204,785,True
31,199,786,True
32,169,754,False
33,577,703,True
34,573,711,True
35,571,720,True
36,160,779,True
37,156,777,True
38,152,775,False
39,152,775,False
40,152,775,False
41,152,775,False
42,152,775,False
43,120,588,True
44,86,400,True
45,52,212,True
46,50,213,True
47,49,214,True
48,81,403,True
49,149,780,False
50,117,594,True
51,560,729,True
52,565,732,True
53,974,676,True
54,1382,622,False
55,527,544,True
56,535,540,True
57,86,407,True
58,536,540,True
59,1386,619,False
60,1386,619,False
61,481,355,True
62,478,355,True
63,24,223,False
64,26,233,True
65,27,243,True
66,28,254,False
67,28,254,False
68,28,254,False
69,28,254,False
70,491,382,True
71,953,511,True
72,1409,637,True
73,1408,639,True
74,1405,642,True
75,1404,649,False
76,1004,678,True
77,598,708,True
78,195,737,True
79,626,731,True
80,1061,727,True
81,1499,725,True
82,1509,729,True
83,1128,785,True
84,744,840,True
85,747,841,True
86,750,840,True
87,1139,785,True
88,755,836,True
89,1138,783,True
90,1132,782,True
91,1507,725,True
92,1498,718,True
93,1489,710,False
94,1489,710,False
95,1489,710,False
96,1489,710,False
97,998,555,True
98,502,398,True
99,10,243,True
100,12,244,True
101,11,240,True
102,8,234,False
103,8,234,False
104,8,234,False
105,8,234,False
106,8,234,False
107,8,234,False
108,8,234,False
109,495,394,True
110,979,550,True
111,1466,713,True
112,1472,717,True
113,1477,722,True
114,1482,723,True
115,1483,723,True
116,996,563,True
117,513,405,True
118,88,205,True
119,209,120,False
120,575,363,True
121,1057,518,True
122,1480,716,True
123,1477,714,True
124,1474,711,True
125,1470,709,True
126,1467,707,True
127,1311,499,True
128,892,511,True
129,474,528,True
130,213,751,True
131,217,757,False
132,216,764,True
133,219,773,True
134,221,559,True
135,223,115,False
136,225,562,True
137,233,791,False
138,257,590,True
139,271,813,True
140,264,785,False
141,287,812,True
142,673,758,True
143,1079,732,True
144,1123,762,True
145,739,808,True
146,357,857,True
147,680,821,True
148,789,777,True
149,890,738,True
150,637,735,True
151,914,733,True
152,858,811,True
153,809,879,True
154,505,943,True
155,571,894,False
156,571,894,False
157,571,894,False
158,484,895,True
159,406,823,False
160,438,828,True
161,356,786,True
162,324,767,True
163,345,783,True
164,401,816,False
165,368,801,True
166,395,823,False
167,419,869,True
168,441,919,True
169,465,947,True
170,467,907,False
171,445,883,True
172,455,865,True
173,326,636,True
174,78,221,False
175,78,221,False
176,78,221,False
177,78,221,False
178,78,221,False
179,362,648,True
180,682,554,True
181,823,761,True
182,827,770,True
183,519,801,True
184,547,804,True
185,566,809,True
186,569,795,True
187,855,711,True
188,856,652,True
189,1153,622,True
190,1149,614,True
191,1162,648,True
192,902,703,True
193,641,754,True
194,639,696,True
195,616,604,False
196,633,639,True
197,633,588,True
198,648,577,False
199,648,577,False
200,839,448,True
201,1235,183,False
202,1235,183,False
203,1235,183,False
204,1235,183,False
205,1235,183,False
206,1063,299,True
207,1307,139,False
208,1307,139,False
209,1288,295,True
210,1315,424,True
211,1315,568,True
212,1305,570,True
213,1296,572,False
214,1296,572,False
215,1281,558,True
216,1242,531,False
217,1242,531,False
218,1254,595,True
219,1226,568,True
220,1220,577,True
221,1218,534,True
222,839,435,True
223,77,196,False
224,843,428,True
225,848,416,True
226,1199,546,True
227,1195,534,True
228,1187,525,True
229,1208,487,True
230,1195,475,True
231,1185,461,True
232,1179,448,True
233,1175,434,True
234,1172,421,True
235,1170,408,True
236,1169,395,False
237,1148,403,True
238,1106,407,False
239,1106,407,False
240,1106,407,False
241,1106,407,False
242,1106,407,False
243,796,341,True
244,798,313,True
245,812,276,True
246,1150,296,False
247,1150,296,False
248,1150,296,False
249,1150,296,False
250,1150,296,False
251,1150,296,False
252,1150,296,False
253,1150,296,False
254,1150,296,False
255,1021,406,True
256,1034,384,True
257,1056,365,True
258,1215,239,True
259,1219,236,False
260,1219,236,False
261,1219,236,False
262,1219,236,False
263,1219,236,False
264,1219,236,False
265,1221,233,True
266,1112,318,True
267,1126,336,True
268,1137,360,True
269,1266,289,True
270,1267,288,True
271,1273,285,True
272,1275,284,True
273,1285,286,True
274,1288,285,True
275,1292,282,True
276,1293,277,True
277,1292,275,True
278,1292,275,True
279,1290,275,True
280,911,250,True
281,152,201,False
282,152,201,False
283,912,251,True
284,912,253,True
285,1293,281,False
286,1293,281,False
287,1293,281,False
288,1295,280,True
289,918,253,True
290,926,255,True
291,934,258,True
292,1322,289,True
293,1316,288,True
294,1301,284,False
295,1301,284,False
296,1301,284,False
297,1301,284,False
298,1317,290,True
299,1316,291,True
300,1323,294,True
301,1321,294,True
302,1319,294,False
303,1319,294,False
304,1319,294,False
305,1319,294,False
306,1319,294,False
307,1319,294,False
308,1319,294,False
309,1319,294,False
310,1070,201,True
311,572,14,False
312,821,105,True
313,571,8,True
314,645,152,True
315,718,299,True
316,968,403,True
317,973,463,True
318,979,524,True
319,806,631,True
320,980,531,True
321,1158,431,True
322,1339,329,True
323,1344,331,False
324,1344,331,False
325,1343,330,True
326,1344,331,True
327,1341,331,True
328,1338,333,True
329,1337,334,False
330,1337,334,False
331,1337,334,False
332,1337,334,False
333,1502,244,True
334,1835,66,False
335,1835,66,False
336,1835,66,False
337,1835,66,False
338,1835,66,False
339,1835,66,False
340,1835,66,False
341,1835,66,False
342,1269,318,True
343,1055,442,True
344,670,659,True
345,680,715,True
346,668,722,True
347,883,615,True
348,876,622,True
349,869,628,True
350,871,630,True
351,1102,515,True
352,1336,399,True
353,1339,398,True
354,1342,397,True
355,1345,396,True
356,1349,397,True
357,1352,399,True
358,1354,402,True
359,1353,406,True
360,1351,410,True
361,1113,527,True
362,681,495,True
363,248,461,True
364,52,312,True
365,312,261,True
366,474,368,True
367,539,634,False
368,539,634,False
369,539,634,False
370,731,326,True
371,821,184,False
372,821,184,False
373,821,184,False
374,821,184,False
375,653,546,True
376,678,578,True
377,613,731,False
378,613,731,False
379,595,803,True
380,582,818,True
381,562,865,True
382,554,873,True
383,548,879,True
384,544,884,False
385,810,754,True
386,704,522,True
387,602,288,True
388,236,182,False
389,236,182,False
390,236,182,False
391,604,292,True
392,1345,512,False
393,1345,512,False
394,1345,512,False
395,975,405,True
396,1344,519,True
397,1343,525,True
398,1340,530,True
399,1056,655,True
400,770,778,True
401,486,903,True
402,766,785,True
403,767,789,True
404,1044,669,True
405,1048,671,True
406,1335,551,True
407,1347,553,True
408,1353,555,True
409,1372,591,True
410,1192,460,True
411,1192,467,True
412,1359,581,False
413,1198,485,True
414,1419,714,False
415,1399,671,True
416,1419,720,False
417,1419,720,False
418,1438,694,True
419,1461,670,True
420,1487,642,False
421,1494,654,True
422,1512,665,True
423,1531,688,True
424,1541,701,True
425,1549,714,True
426,1554,722,True
427,1558,733,True
428,1560,740,True
429,1555,743,True
430,1550,743,True
431,1546,741,True
432,1546,739,True
433,1544,737,True
434,1542,740,True
435,1541,742,True
436,1542,742,True
437,1544,736,True
438,1545,731,True
439,1160,742,True
440,388,772,False
441,774,757,True
442,389,770,False
443,389,770,False
444,418,812,True
445,794,786,True
446,1170,761,True
447,1170,760,True
448,1173,764,True
449,1177,769,True
450,1530,711,False
451,1530,711,False
452,1504,748,True
453,1458,829,False
